W_REGN,W_PROV,FSIZE,TOINC,TOTEX,COFFEE,FOOD_OUTSIDE,COCOA,SEQ_NO
13,74,5,233454.98,185424.56482854788,3592.9093805271486,12202.077634938216,359.29093805271486,1
13,76,4,97348.7,74505.40172789611,1365.7886212544847,3411.3623678657386,136.57886212544847,2
13,75,4,192254.81,165079.98271463646,2468.2884516889476,12223.059290431629,246.82884516889476,3
13,74,1,351627.47,278160.94186423137,6079.605549302816,17183.55106367654,607.9605549302817,4
13,39,8,215211.33,172290.1681670889,2756.2727547542067,12445.46653335194,275.6272754754207,5
13,39,2,187162.13,132091.8070779864,2417.051582592055,8657.866626349087,241.70515825920552,6
13,39,4,259550.57,219908.82281909382,4232.341561812517,14108.994561093343,423.23415618125176,7
13,76,7,228293.58,166772.51410451703,3579.292533633111,15719.246686288792,357.9292533633111,8
13,75,6,422225.95,318126.65491543384,6663.75267261413,22876.18061451323,666.375267261413,9
13,75,3,121048.46,106435.42395592903,2067.29688336565,6263.191668937488,206.729688336565,10
13,39,5,368015.57,286430.44910623145,5143.715623274307,17721.743273321586,514.3715623274308,11
13,76,5,261010.78,193357.45123433645,4250.143514069094,12843.969727997533,425.0143514069094,12
13,76,3,348212.04,294014.9380484716,4901.678563207591,18417.13157272682,490.1678563207591,13
13,74,3,116603.99,87887.47339467467,2275.9477490963964,8063.049170985279,227.59477490963965,14
13,39,5,455808.39,349944.4088573982,6338.11037901434,21142.870609484093,633.811037901434,15
13,39,1,371693.3,317922.2246363497,5178.906173064894,20193.108725889986,517.8906173064894,16
13,74,4,732284.59,648046.558305686,10601.855885498633,38442.96913148159,1060.1855885498633,17
13,74,2,162813.04,144075.68847803373,2597.316708660689,9051.308783918446,259.7316708660689,18
13,74,1,188907.8,155010.34550025308,2807.6005593030923,10227.837660966086,280.76005593030925,19
13,74,2,91995.08,74844.82616801647,1437.2948977289648,2268.7430993220314,143.72948977289647,20
13,75,4,163708.22,146831.7517755178,2396.655149315007,5486.626352817744,239.6655149315007,21
13,39,4,634493.61,474765.3518979996,9490.825726391979,30407.24837967165,949.0825726391979,22
13,74,2,320307.81,236403.37516112014,4563.607382514821,19321.027479041746,456.3607382514822,23
13,74,9,173543.9,150319.17351737965,1847.6441558040776,11426.730683814545,184.76441558040779,24
13,74,4,290644.11,233206.07162109835,3662.114296526561,14606.572215968443,366.2114296526561,25
13,75,5,258608.28,226928.66617267556,3478.4030530849623,15519.16253637819,347.8403053084962,26
13,39,4,85350.48,65220.57406017361,1119.2191624727702,2397.591246528353,111.92191624727703,27
13,74,3,95140.1,74325.15581297009,2159.3926549243156,4018.1533971483063,215.93926549243156,28
13,74,6,521291.56,481761.71464024624,7309.737227418002,29239.072858408254,730.9737227418002,29
13,39,5,417469.37,336235.7301521491,5715.810250343891,25077.825291000376,571.5810250343892,30
13,75,5,110115.16,93348.84596770382,741.5234532325654,7048.994517530982,74.15234532325654,31
13,39,4,248669.49,180700.79470087023,3980.6617828594954,9254.619386949178,398.06617828594955,32
13,39,4,174656.61,130068.05124607336,2513.119369593282,11431.909199876529,251.31193695932822,33
13,76,3,515711.44,365624.93607736385,7088.609689038878,30407.048445795568,708.8609689038879,34
13,76,1,351000.0,282938.5387320862,5250.703553530666,22505.149785335212,525.0703553530666,35
13,76,1,138307.82,131009.31649402424,1782.956134466693,8496.695617318648,178.2956134466693,36
13,74,5,288411.77,264897.0646779224,4973.772853840943,16433.678324781562,497.3772853840943,37
13,39,6,261799.33,224683.3134706129,3591.738212498783,13183.390421219709,359.1738212498783,38
13,75,6,262229.89,240012.23259134806,4782.509416551548,18569.353250413682,478.25094165515486,39
13,74,3,197585.83,167659.9423588648,3049.9010162307122,11809.569489876094,304.9901016230712,40
13,39,6,272364.14,215764.7527377426,3888.02001682855,11102.198181120559,388.802001682855,41
13,74,5,161060.95,119730.55205760668,2287.432414199746,4696.247783776034,228.7432414199746,42
13,39,6,131572.76,113581.78834197999,2120.207753291576,3246.818913577391,212.0207753291576,43
13,76,1,127016.4,95041.64953563936,1771.1574465915107,8810.905871191027,177.1157446591511,44
13,74,3,142991.03,115015.85083167658,1682.048383161541,9074.29274899197,168.2048383161541,45
13,75,3,345714.95,313373.47564265365,5501.1863751964265,12061.459217270407,550.1186375196427,46
13,74,6,351400.93,257333.4752758607,5766.773481855125,20012.119164217333,576.6773481855125,47
13,74,2,644554.83,471978.7257066278,10181.911199736607,32928.60580634841,1018.1911199736608,48
13,74,9,233963.07,176899.61851680648,3429.309443589957,14932.693106025896,342.9309443589957,49
13,39,4,408744.49,342519.43255546934,6677.089440913806,18501.159039842445,667.7089440913807,50
13,76,3,276022.47,210586.0630565731,4298.074524855298,17142.668978693633,429.8074524855298,51
13,75,5,321180.63,265230.7986255654,4671.360750722053,16625.1223208493,467.13607507220536,52
13,76,5,435835.63,337988.6363850609,6257.028026475977,24602.7829848883,625.7028026475978,53
13,76,2,380494.97,314502.13214233937,6167.760354452908,20291.637786101546,616.7760354452909,54
13,74,3,286376.88,220340.62303874866,3454.2104162066244,16181.548808727583,345.42104162066244,55
13,76,5,185693.82,175481.23441850732,3479.7811560242953,11599.883679606675,347.97811560242957,56
13,39,4,316626.79,260640.67485352964,4812.4005546136905,16619.225930157332,481.2400554613691,57
13,39,3,608395.66,538984.3214747373,8827.427102811987,33145.2549231586,882.7427102811988,58
13,39,1,298104.52,260882.18791950028,4114.139184856189,14825.794502438932,411.4139184856189,59
13,74,4,211672.48,174130.21586355133,2953.461170806925,11213.388659726304,295.3461170806925,60
13,74,2,439257.11,333710.4417242236,6941.810119748914,22667.69133512409,694.1810119748915,61
13,74,8,116882.68,96741.4062618601,1909.033334773993,6602.16159343258,190.90333347739931,62
13,76,7,216214.86,188159.4480716716,3013.7364043453895,10155.335891074585,301.37364043453897,63
13,74,5,148975.19,121411.77317920397,1964.1946965923446,7408.923838446454,196.41946965923447,64
13,74,2,249473.59,179741.05066122964,3899.1227101559293,14790.47696822887,389.912271015593,65
13,74,4,566871.54,399358.6232584411,9874.897829494523,28087.5684950074,987.4897829494523,66
13,39,6,394166.14,308225.78199732176,7279.214167353448,18762.973721178256,727.9214167353448,67
13,76,3,87485.27,64525.284183683354,1837.8759127654616,7186.155812183246,183.78759127654618,68
13,39,2,185122.21,171524.53225156595,2389.59898193222,9283.488593764052,238.959898193222,69
13,76,5,109159.04,81209.75936677678,2014.4210680780232,5290.270555293777,201.44210680780233,70
13,75,5,506344.99,404352.2622208398,7223.108897389571,23594.478025558157,722.3108897389571,71
13,39,5,189192.39,166114.58459351436,2723.44898093938,9351.907523725848,272.344898093938,72
13,39,5,280838.68,253837.5616605798,4895.400112536375,12718.805427010162,489.5400112536375,73
13,76,6,289070.38,236872.44668005014,4214.015018967356,19147.179318667775,421.4015018967356,74
13,75,4,303614.2,226278.73025856106,4412.799628854242,13658.938735172771,441.2799628854242,75
